user_id,signup_date,user_persona,subscription_plan,last_login_date,is_active,signup_month,days_since_signup,days_since_last_login,quizzes_created,tenure_days,segment,estimated_rev
QF1000,2024-03-03 00:00:00,High School Teacher,Free,30-08-2024,False,2024-03,181,5,4.0,603.0,1,14.310329973680934
QF1001,2024-03-03 00:00:00,High School Teacher,Enterprise,17-08-2024,True,2024-03,181,14,11.0,603.0,0,26.817016164380103
QF1002,2024-03-04 00:00:00,Content Creator,Pro,13-08-2024,True,2024-03,180,18,2.0,602.0,1,7.440837547053451
QF1003,2024-03-05 00:00:00,Language Instructor,Free,29-08-2024,True,2024-03,179,2,2.0,601.0,1,22.828252939448205
QF1004,2024-03-06 00:00:00,HR Professional,Free,14-08-2024,True,2024-03,178,17,2.0,600.0,1,15.439480209521122
QF1005,2024-03-07 00:00:00,High School Teacher,Basic,13-08-2024,True,2024-03,177,18,1.0,599.0,1,22.655504274029592
QF1006,2024-03-07 00:00:00,High School Teacher,Free,07-08-2024,False,2024-03,177,15,1.0,599.0,1,12.179299840722488
QF1007,2024-03-07 00:00:00,HR Professional,Basic,25-08-2024,True,2024-03,177,6,3.0,599.0,1,19.317531602473178
QF1008,2024-03-07 00:00:00,University Professor,Free,28-08-2024,True,2024-03,177,3,2.0,599.0,1,11.242214009872713
QF1009,2024-03-08 00:00:00,High School Teacher,Enterprise,18-08-2024,True,2024-03,176,13,16.0,598.0,0,22.71355507396504
QF1010,2024-03-08 00:00:00,K-12 Tutor,Free,28-08-2024,True,2024-03,176,3,1.0,598.0,1,21.016567420976703
QF1011,2024-03-09 00:00:00,HR Professional,Enterprise,25-09-2024,False,2024-03,175,20,5.0,597.0,1,9.893023270619308
QF1012,2024-03-09 00:00:00,High School Teacher,Enterprise,29-09-2024,True,2024-03,175,14,18.0,597.0,0,28.864081624753958
QF1013,2024-03-09 00:00:00,Corporate Trainer,Free,13-09-2024,True,2024-03,175,19,1.0,597.0,1,18.44764533457201
QF1014,2024-03-10 00:00:00,High School Teacher,Basic,28-10-2024,False,2024-03,174,2,2.0,596.0,1,23.031985974195095
QF1015,2024-03-11 00:00:00,HR Professional,Free,11-11-2024,True,2024-03,173,4,1.0,595.0,1,17.89442096375843
QF1016,2024-03-11 00:00:00,High School Teacher,Pro,12-11-2024,False,2024-03,173,28,3.0,595.0,1,13.369057015710709
QF1017,2024-03-11 00:00:00,Language Instructor,Enterprise,02-12-2024,True,2024-03,173,21,8.0,595.0,1,15.877334112019764
QF1018,2024-03-11 00:00:00,K-12 Tutor,Basic,07-11-2024,True,2024-03,173,29,6.0,595.0,1,19.426390803696293
QF1019,2024-03-12 00:00:00,High School Teacher,Basic,14-12-2024,True,2024-03,172,1,2.0,594.0,1,20.530598743497414
QF1020,2024-03-12 00:00:00,HR Professional,Pro,01-01-2025,True,2024-03,172,26,6.0,594.0,1,26.690254739420453
QF1021,2024-10-27 19:54:45,HR Professional,Pro,16-08-2024,True,2024-03,171,15,2.0,574.0,2,16.998713124569147
QF1022,2024-02-10 00:00:00,K-12 Tutor,Basic,14-08-2024,True,2024-03,171,17,4.0,625.0,1,10.89393828533386
QF1023,2024-06-12 00:00:00,University Professor,Pro,05-08-2024,False,2024-03,170,14,4.0,502.0,1,9.968323635032112
QF1024,2024-08-13 21:09:50,HR Professional,Basic,07-08-2024,True,2024-03,170,24,5.0,372.0,2,9.572307920708784
QF1025,2024-05-30 12:51:10,K-12 Tutor,Free,13-08-2024,False,2024-03,170,22,3.0,380.0,2,27.03036291858917
QF1026,2024-01-29 03:31:09,STEM Educator,Free,21-08-2024,False,2024-03,170,19,4.0,607.0,2,26.37532584783799
QF1027,2024-03-02 00:00:00,High School Teacher,Free,15-08-2024,True,2024-03,169,16,1.0,604.0,1,21.807060619978177
QF1028,2024-04-08 16:14:29,K-12 Tutor,Free,19-08-2024,False,2024-03,169,26,1.0,386.0,2,7.455983028657107
QF1029,2024-02-09 15:52:23,HR Professional,Enterprise,14-08-2024,False,2024-03,169,26,15.0,522.0,0,27.287455727276388
QF1030,2024-05-30 17:50:38,High School Teacher,Free,18-08-2024,False,2024-03,169,19,4.0,400.0,2,14.801547625979726
QF1031,2024-05-08 00:00:00,University Professor,Enterprise,28-08-2024,True,2024-03,168,3,13.0,537.0,0,27.409252241174542
QF1032,2024-04-20 04:35:32,High School Teacher,Basic,29-08-2024,True,2024-03,167,2,3.0,634.0,2,17.255063203597402
QF1033,2024-11-08 12:52:52,Corporate Trainer,Enterprise,27-08-2024,False,2024-03,167,16,11.0,418.0,0,21.433233819157625
QF1034,2024-05-12 00:00:00,University Professor,Free,02-08-2024,True,2024-03,167,29,4.0,533.0,1,14.393166697400329
QF1035,2024-11-23 03:55:32,High School Teacher,Basic,29-08-2024,True,2024-03,166,2,12.0,386.0,0,33.87847725342288
QF1036,2024-02-02 04:32:48,Language Instructor,Basic,24-08-2024,True,2024-03,165,7,1.0,654.0,2,24.022001667063964
QF1037,2024-08-05 00:00:00,Corporate Trainer,Free,01-08-2024,False,2024-03,164,7,2.0,448.0,1,11.383000626883282
QF1038,2024-05-04 21:36:27,Corporate Trainer,Free,09-08-2024,False,2024-03,164,16,1.0,516.0,2,13.69552132286692
QF1039,2024-11-22 21:35:28,Corporate Trainer,Basic,26-08-2024,False,2024-03,164,8,1.0,338.0,2,8.526190153223691
QF1040,2024-01-05 00:03:27,High School Teacher,Enterprise,29-08-2024,True,2024-03,164,2,5.0,364.0,2,25.382004560615897
QF1041,2024-11-05 21:07:04,K-12 Tutor,Basic,04-08-2024,True,2024-03,164,27,4.0,445.0,2,23.635994726263277
QF1042,2024-07-27 15:01:29,University Professor,Free,15-08-2024,False,2024-03,163,13,1.0,337.0,2,19.688021502747834
QF1043,2024-04-02 05:49:49,High School Teacher,Basic,21-08-2024,True,2024-03,162,10,3.0,661.0,2,8.280315176527157
QF1044,2024-07-07 00:00:00,Language Instructor,Free,08-08-2024,False,2024-03,162,16,4.0,477.0,1,21.742492309416164
QF1045,2024-12-02 00:00:00,Language Instructor,Free,04-08-2024,False,2024-03,162,11,5.0,329.0,1,24.82309158569035
QF1046,2024-07-25 11:48:36,High School Teacher,Free,17-08-2024,False,2024-03,161,2,2.0,563.0,2,21.335743763230326
QF1047,2024-04-24 18:10:17,STEM Educator,Free,11-08-2024,False,2024-03,160,16,3.0,613.0,2,10.045961139697045
QF1048,2024-04-06 00:00:00,Corporate Trainer,Pro,19-08-2024,True,2024-03,160,12,2.0,569.0,1,18.32804425317751
QF1049,2024-11-04 00:00:00,High School Teacher,Free,03-08-2024,False,2024-03,160,16,1.0,357.0,1,20.22658579488398
QF1050,2024-03-10 00:00:00,University Professor,Basic,04-08-2024,True,2024-03,160,27,1.0,596.0,1,15.19633419312811
QF1051,2024-08-08 00:00:00,K-12 Tutor,Pro,27-08-2024,False,2024-03,160,23,5.0,445.0,1,24.050521895581596
QF1052,2024-02-04 00:00:00,K-12 Tutor,Basic,09-08-2024,True,2024-03,160,22,3.0,631.0,1,18.71586957480583
QF1053,2024-11-28 00:39:23,High School Teacher,Pro,25-08-2024,False,2024-03,159,6,2.0,369.0,2,22.16171338817796
QF1054,2024-04-26 18:56:37,University Professor,Basic,22-08-2024,True,2024-03,157,9,1.0,334.0,2,11.129859334829963
QF1055,2024-05-09 00:00:00,High School Teacher,Free,27-08-2024,False,2024-03,157,24,2.0,536.0,1,17.864345468468798
QF1056,2024-11-12 19:33:57,HR Professional,Basic,02-08-2024,True,2024-03,157,29,5.0,412.0,2,17.67330109949569
QF1057,2024-03-04 00:00:00,Content Creator,Basic,21-08-2024,True,2024-03,157,10,1.0,602.0,1,24.77036327130696
QF1058,2024-04-23 21:54:35,Corporate Trainer,Enterprise,21-08-2024,False,2024-03,156,18,8.0,418.0,2,18.445066955879753
