question_id,quiz_id,creator_id,creation_date,topic,question_type,bloom_level,difficulty_score
QS10000,QZ1000,QF1000,2024-07-12,Programming,MCQ,Remember,1.44
QS10001,QZ1000,QF1000,2024-07-12,Programming,MCQ,Remember,1.3
QS10002,QZ1000,QF1000,2024-07-12,Programming,MCQ,Analyze,5.0
QS10003,QZ1000,QF1000,2024-07-12,Programming,Open,Create,5.0
QS10004,QZ1000,QF1000,2024-07-12,Programming,MCQ,Analyze,2.68
QS10005,QZ1000,QF1000,2024-07-12,Programming,Open,Analyze,3.97
QS10006,QZ1001,QF1000,2024-08-22,Physics,MCQ,Apply,3.23
QS10007,QZ1001,QF1000,2024-08-22,Physics,MCQ,Evaluate,4.02
QS10008,QZ1001,QF1000,2024-08-22,Physics,MCQ,Remember,1.0
QS10009,QZ1001,QF1000,2024-08-22,Physics,MCQ,Understand,2.05
QS10010,QZ1001,QF1000,2024-08-22,Physics,MCQ,Understand,2.6
QS10011,QZ1001,QF1000,2024-08-22,Physics,MCQ,Evaluate,4.6
QS10012,QZ1001,QF1000,2024-08-22,Physics,MCQ,Understand,2.3
QS10013,QZ1001,QF1000,2024-08-22,Physics,MCQ,Apply,2.64
QS10014,QZ1001,QF1000,2024-08-22,Physics,MCQ,Remember,1.61
QS10015,QZ1001,QF1000,2024-08-22,Physics,MCQ,Remember,2.43
QS10016,QZ1001,QF1000,2024-08-22,Physics,MCQ,Evaluate,3.57
QS10017,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Understand,3.37
QS10018,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Evaluate,5.0
QS10019,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Understand,1.0
QS10020,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Remember,2.33
QS10021,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Analyze,4.48
QS10022,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Evaluate,4.09
QS10023,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Apply,4.47
QS10024,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Remember,1.21
QS10025,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Apply,3.63
QS10026,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Remember,2.09
QS10027,QZ1002,QF1000,2024-05-15,Mathematics,MCQ,Remember,3.4
QS10028,QZ1003,QF1000,2024-05-01,English,MCQ,Create,3.99
QS10029,QZ1003,QF1000,2024-05-01,English,MCQ,Apply,1.53
QS10030,QZ1003,QF1000,2024-05-01,English,MCQ,Understand,3.73
QS10031,QZ1003,QF1000,2024-05-01,English,MCQ,Understand,3.47
QS10032,QZ1003,QF1000,2024-05-01,English,MCQ,Remember,2.84
QS10033,QZ1004,QF1001,2024-04-05,Biology,MCQ,Evaluate,4.43
QS10034,QZ1004,QF1001,2024-04-05,Biology,Open,Remember,1.0
QS10035,QZ1004,QF1001,2024-04-05,Biology,MCQ,Remember,4.1
QS10036,QZ1004,QF1001,2024-04-05,Biology,MCQ,Apply,2.31
QS10037,QZ1004,QF1001,2024-04-05,Biology,Open,Remember,2.22
QS10038,QZ1005,QF1001,2024-08-13,Biology,MCQ,Analyze,3.77
QS10039,QZ1005,QF1001,2024-08-13,Biology,MCQ,Remember,2.05
QS10040,QZ1005,QF1001,2024-08-13,Biology,MCQ,Evaluate,5.0
QS10041,QZ1005,QF1001,2024-08-13,Biology,MCQ,Create,3.2
QS10042,QZ1005,QF1001,2024-08-13,Biology,MCQ,Remember,1.51
QS10043,QZ1005,QF1001,2024-08-13,Biology,MCQ,Understand,2.77
QS10044,QZ1005,QF1001,2024-08-13,Biology,MCQ,Analyze,2.3
QS10045,QZ1005,QF1001,2024-08-13,Biology,MCQ,Remember,2.5
QS10046,QZ1006,QF1001,2024-05-31,Chemistry,MCQ,Remember,1.0
QS10047,QZ1006,QF1001,2024-05-31,Chemistry,MCQ,Analyze,4.01
QS10048,QZ1006,QF1001,2024-05-31,Chemistry,MCQ,Remember,3.21
QS10049,QZ1006,QF1001,2024-05-31,Chemistry,MCQ,Analyze,4.92
QS10050,QZ1006,QF1001,2024-05-31,Chemistry,MCQ,Analyze,4.13
QS10051,QZ1006,QF1001,2024-05-31,Chemistry,MCQ,Analyze,2.88
QS10052,QZ1007,QF1001,2024-07-13,Physics,MCQ,Understand,1.81
QS10053,QZ1007,QF1001,2024-07-13,Physics,MCQ,Understand,3.35
QS10054,QZ1007,QF1001,2024-07-13,Physics,MCQ,Remember,2.68
QS10055,QZ1007,QF1001,2024-07-13,Physics,MCQ,Remember,1.87
QS10056,QZ1007,QF1001,2024-07-13,Physics,MCQ,Apply,4.12
QS10057,QZ1007,QF1001,2024-07-13,Physics,MCQ,Analyze,3.46
QS10058,QZ1007,QF1001,2024-07-13,Physics,MCQ,Apply,3.28
QS10059,QZ1007,QF1001,2024-07-13,Physics,MCQ,Understand,2.56
QS10060,QZ1007,QF1001,2024-07-13,Physics,MCQ,Remember,1.19
QS10061,QZ1007,QF1001,2024-07-13,Physics,MCQ,Remember,2.56
QS10062,QZ1007,QF1001,2024-07-13,Physics,MCQ,Analyze,4.37
QS10063,QZ1008,QF1001,2024-07-24,Programming,MCQ,Evaluate,4.68
QS10064,QZ1008,QF1001,2024-07-24,Programming,MCQ,Remember,1.0
QS10065,QZ1008,QF1001,2024-07-24,Programming,MCQ,Apply,3.74
QS10066,QZ1009,QF1001,2024-05-22,Language,Open,Analyze,4.09
QS10067,QZ1009,QF1001,2024-05-22,Language,MCQ,Remember,2.25
QS10068,QZ1009,QF1001,2024-05-22,Language,MCQ,Understand,3.57
QS10069,QZ1009,QF1001,2024-05-22,Language,MCQ,Understand,2.12
QS10070,QZ1009,QF1001,2024-05-22,Language,MCQ,Remember,3.07
QS10071,QZ1009,QF1001,2024-05-22,Language,MCQ,Analyze,4.3
QS10072,QZ1009,QF1001,2024-05-22,Language,MCQ,Apply,3.97
QS10073,QZ1009,QF1001,2024-05-22,Language,Open,Apply,3.46
QS10074,QZ1010,QF1001,2024-06-04,Physics,MCQ,Understand,3.85
QS10075,QZ1010,QF1001,2024-06-04,Physics,MCQ,Apply,2.35
QS10076,QZ1010,QF1001,2024-06-04,Physics,MCQ,Evaluate,5.0
QS10077,QZ1010,QF1001,2024-06-04,Physics,MCQ,Remember,3.57
QS10078,QZ1010,QF1001,2024-06-04,Physics,MCQ,Apply,3.2
QS10079,QZ1010,QF1001,2024-06-04,Physics,MCQ,Apply,2.61
QS10080,QZ1010,QF1001,2024-06-04,Physics,MCQ,Apply,2.81
QS10081,QZ1010,QF1001,2024-06-04,Physics,MCQ,Apply,3.65
QS10082,QZ1010,QF1001,2024-06-04,Physics,MCQ,Understand,1.9
QS10083,QZ1010,QF1001,2024-06-04,Physics,MCQ,Apply,2.93
QS10084,QZ1010,QF1001,2024-06-04,Physics,MCQ,Remember,2.27
QS10085,QZ1010,QF1001,2024-06-04,Physics,MCQ,Analyze,5.0
QS10086,QZ1011,QF1001,2024-08-07,General Knowledge,MCQ,Remember,1.94
QS10087,QZ1011,QF1001,2024-08-07,General Knowledge,Open,Apply,2.84
QS10088,QZ1011,QF1001,2024-08-07,General Knowledge,Open,Evaluate,3.5
QS10089,QZ1011,QF1001,2024-08-07,General Knowledge,MCQ,Evaluate,4.9
QS10090,QZ1011,QF1001,2024-08-07,General Knowledge,Open,Analyze,4.52
QS10091,QZ1011,QF1001,2024-08-07,General Knowledge,Open,Remember,1.49
QS10092,QZ1011,QF1001,2024-08-07,General Knowledge,Open,Apply,3.17
QS10093,QZ1011,QF1001,2024-08-07,General Knowledge,MCQ,Remember,2.36
QS10094,QZ1011,QF1001,2024-08-07,General Knowledge,MCQ,Remember,1.84
QS10095,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Remember,1.51
QS10096,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Remember,2.84
QS10097,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Remember,1.69
QS10098,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Understand,2.14
QS10099,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Apply,2.9
QS10100,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Understand,2.87
QS10101,QZ1012,QF1001,2024-05-02,Computer Science,MCQ,Evaluate,2.87
QS10102,QZ1013,QF1001,2024-08-07,Mathematics,MCQ,Understand,3.33
QS10103,QZ1013,QF1001,2024-08-07,Mathematics,MCQ,Remember,1.56
QS10104,QZ1013,QF1001,2024-08-07,Mathematics,MCQ,Understand,3.99
QS10105,QZ1013,QF1001,2024-08-07,Mathematics,MCQ,Apply,2.94
QS10106,QZ1013,QF1001,2024-08-07,Mathematics,MCQ,Apply,3.59
