quiz_id,creator_id,creation_date,topic,quiz_type,num_questions,avg_difficulty,dominant_bloom_level,popularity_score
QZ1000,QF1000,12-07-2024,Programming,Open,6,3.23,Analyze,0.33
QZ1001,QF1000,22-08-2024,Physics,MCQ,11,2.73,Understand,1.51
QZ1002,QF1000,15-05-2024,Mathematics,MCQ,11,3.19,Remember,0.36
QZ1003,QF1000,01-05-2024,English,MCQ,5,3.11,Understand,0.87
QZ1004,QF1001,05-04-2024,Biology,Open,5,2.81,Remember,9.38
QZ1005,QF1001,13-08-2024,Biology,MCQ,8,2.89,Remember,0.36
QZ1006,QF1001,31-05-2024,Chemistry,MCQ,6,3.36,Analyze,2.3
QZ1007,QF1001,13-07-2024,Physics,Mixed,11,2.84,Remember,4.46
QZ1008,QF1001,24-07-2024,Programming,MCQ,3,3.14,Evaluate,1.54
QZ1009,QF1001,22-05-2024,Language,Mixed,8,3.36,Understand,1.45
QZ1010,QF1001,04-06-2024,Physics,MCQ,12,3.26,Apply,4.82
QZ1011,QF1001,07-08-2024,General Knowledge,Mixed,9,2.95,Remember,0.85
QZ1012,QF1001,02-05-2024,Computer Science,MCQ,7,2.4,Remember,1.84
QZ1013,QF1001,07-08-2024,Mathematics,MCQ,6,3.05,Understand,2.5
QZ1014,QF1001,31-05-2024,Mathematics,MCQ,11,2.61,Remember,1.67
QZ1015,QF1002,07-08-2024,Physics,MCQ,6,2.58,Remember,1.45
QZ1016,QF1002,02-08-2024,Biology,MCQ,8,2.86,Remember,1.11
QZ1017,QF1003,05-04-2024,Biology,Open,8,3.41,Understand,1.96
QZ1018,QF1003,21-05-2024,Language,MCQ,7,3.25,Understand,0.25
QZ1019,QF1005,21-08-2024,General Knowledge,MCQ,7,2.76,Understand,1.92
QZ1020,QF1007,20-08-2024,Mathematics,MCQ,4,3.02,Apply,1.41
QZ1021,QF1007,06-07-2024,Language,MCQ,8,2.43,Analyze,0.12
QZ1022,QF1007,03-05-2024,Biology,MCQ,10,2.74,Understand,3.78
QZ1023,QF1009,31-05-2024,Programming,MCQ,6,3.36,Evaluate,2.73
QZ1024,QF1009,09-06-2024,Language,Mixed,12,3.4,Remember,1.24
QZ1025,QF1009,07-06-2024,Computer Science,MCQ,4,2.88,Evaluate,0.1
QZ1026,QF1009,08-07-2024,Biology,MCQ,7,3.19,Remember,1.92
QZ1027,QF1009,16-08-2024,Business Studies,MCQ,6,2.49,Understand,2.56
QZ1028,QF1009,07-06-2024,General Knowledge,Open,8,3.26,Understand,1.41
QZ1029,QF1009,24-07-2024,English,Mixed,4,3.18,Evaluate,4.99
QZ1030,QF1009,11-07-2024,Mathematics,Open,9,2.4,Remember,5.68
QZ1031,QF1009,16-04-2024,Chemistry,Mixed,9,2.6,Remember,15
QZ1032,QF1009,05-06-2024,Computer Science,Open,4,3.19,Understand,0.44
QZ1033,QF1009,16-07-2024,History,MCQ,9,3.14,Remember,5.07
QZ1034,QF1009,09-08-2024,English,MCQ,9,2.83,Understand,3.42
