attempt_id,quiz_id,student_id,attempt_date,score,time_spent_seconds,passed
AT50000,QZ1001,QF1195,2024-08-30,68.17,263,True
AT50001,QZ1001,QF1920,2024-08-23,79.97,452,True
AT50002,QZ1004,QF1971,2024-04-26,76.57,99,True
AT50003,QZ1005,QF1876,2024-08-23,72.17,243,True
AT50004,QZ1006,QF1034,2024-06-05,56.39,164,True
AT50005,QZ1006,QF1004,2024-06-10,73.5,221,True
AT50006,QZ1006,QF1592,2024-07-20,70.58,217,True
AT50007,QZ1007,QF1111,2024-07-17,71.36,393,True
AT50008,QZ1008,QF1120,2024-08-06,79.45,101,True
AT50009,QZ1010,QF1327,2024-06-18,73.53,430,True
AT50010,QZ1010,QF1784,2024-07-16,92.5,521,True
AT50011,QZ1010,QF1798,2024-06-12,59.06,510,True
AT50012,QZ1010,QF1718,2024-08-04,72.52,514,True
AT50013,QZ1010,QF1711,2024-07-06,63.13,425,True
AT50014,QZ1010,QF1232,2024-07-12,73.35,524,True
AT50015,QZ1010,QF1653,2024-08-13,57.46,497,True
AT50016,QZ1011,QF1402,2024-08-16,81.11,370,True
AT50017,QZ1011,QF1410,2024-08-10,86.95,328,True
AT50018,QZ1012,QF1305,2024-06-11,78.99,244,True
AT50019,QZ1012,QF1805,2024-07-04,67.28,212,True
AT50020,QZ1012,QF1424,2024-06-09,56.88,250,True
AT50021,QZ1013,QF1522,2024-08-07,76.64,146,True
AT50022,QZ1013,QF1188,2024-08-12,79.4,130,True
AT50023,QZ1014,QF1021,2024-06-01,74.78,273,True
AT50024,QZ1015,QF1060,2024-08-12,75.66,185,True
AT50025,QZ1016,QF1084,2024-08-14,73.08,160,True
AT50026,QZ1017,QF1829,2024-08-12,55.55,242,True
AT50027,QZ1019,QF1057,2024-08-25,64.13,189,True
AT50028,QZ1022,QF1589,2024-07-20,60.71,252,True
AT50029,QZ1022,QF1608,2024-05-24,77.24,327,True
AT50030,QZ1023,QF1676,2024-06-20,72.19,277,True
AT50031,QZ1023,QF1786,2024-07-03,62.58,179,True
